SourceSystemId,AccountNo,AccountStatus,AccountDesc,PrimaryGroupNo,PrimaryGroupDesc
1-13VEN399,1-66970731,Open,(5037) AYLESBURY S/STN - APPLEGREEN - PETROGAS,2-7970701,APPLEGREEN
1-13VEN401,1-66970733,Open,(5038) BRIDGEND S/STN - APPLEGREEN - PETROGAS,2-7970701,APPLEGREEN
1-13VEN396,1-66970728,Open,(5044) ST.AUSTELL S/STN - APPLEGREEN - PETROGAS,2-7970701,APPLEGREEN
1-13VEN400,1-66970732,Open,(5045) WARRINGTON S/STN - APPLEGREEN - PETROGAS,2-7970701,APPLEGREEN
1-13VEN398,1-66970730,Open,(5046) SOUTHAMPTON S/STN - APPLEGREEN - PETROGAS,2-7970701,APPLEGREEN
1-13VEN397,1-66970729,Open,(5048) FALCONDALE S/STN - APPLEGREEN - PETROGAS,2-7970701,APPLEGREEN
1-13VEN494,1-66970826,Open,ALSAGER 100G,2-7970702,ALSAGER
1-13VEN429,1-66970761,Open,ALSAGER 99P,2-7970702,ALSAGER
1-13VEN335,1-66970667,Open,ALSAGER FOOD AND WINE,2-7970702,ALSAGER
1-13VEN157,1-66970489,Open,ALSAGER FOODSTORE,2-7970702,ALSAGER
1-13VEN254,1-66970586,Open,ALSAGER POST OFFICE,2-7970702,ALSAGER
1-13VEN261,1-66970593,Open,ALSAGER POST OFFICE,2-7970702,ALSAGER
1-13VEN81,1-66970413,Open,ARFAN ARENAS,2-7970703,ARFAN
1-13VEN337,1-66970669,Open,ARFAN AYLESFORD VILLAGE SHOP,2-7970703,ARFAN
1-13VEN377,1-66970709,Open,ARFAN FOOD STORE,2-7970703,ARFAN
1-13VEN356,1-66970688,Open,ARFAN MINI MARKET,2-7970703,ARFAN
1-13VEN146,1-66970478,Open,ARFAN POST OFFICE,2-7970703,ARFAN
1-13VEN311,1-66970643,Open,ARFAN SERVICE STATION NISA,2-7970703,ARFAN
1-13VEN291,1-66970623,Open,ASDA CAR,2-7970704,ASDA
1-13VEN479,1-66970811,Open,ASDA CONVENIENCE,2-7970704,ASDA
1-13VEN22,1-66970354,Closed,ASDA FOODSTORE,2-7970704,ASDA
1-13VEN126,1-66970458,Open,ASDA MAIN STORE,2-7970704,ASDA
1-13VEN199,1-66970531,Open,ASDA MAIN STORE,2-7970704,ASDA
1-13VEN125,1-66970457,Open,ASDA MAINSTORE,2-7970704,ASDA
1-13VEN166,1-66970498,Open,ASDA NEWS,2-7970704,ASDA
